,Unnamed: 0,raceId,year,circuitId,name,date,driverId,constructorId,laps,time,statusId,driver_name,TrackTemp,Rain,Heat Index,Wind,pitstop time,# of pitstops,qualifying_position
0,0,989,2018,1,Australian Grand Prix,2018-03-25,20,Ferrari,58,1:29:33.283,1,vettel,Ideal,True,Fine,Gentle Breeze,21.787,1,3
1,1,990,2018,3,Bahrain Grand Prix,2018-04-08,20,Ferrari,57,1:32:01.940,1,vettel,Ideal,False,Caution,Light Air,24.524,1,1
2,2,991,2018,17,Chinese Grand Prix,2018-04-15,817,Red Bull,56,1:35:36.380,1,ricciardo,Ideal,True,Fine,Light Breeze,45.733,2,6
3,3,992,2018,73,Azerbaijan Grand Prix,2018-04-29,1,Mercedes,51,1:43:44.291,1,hamilton,Ideal,False,Caution,Light Breeze,41.706,2,2
4,4,993,2018,4,Spanish Grand Prix,2018-05-13,1,Mercedes,66,1:35:29.972,1,hamilton,Ideal,True,Caution,Light Breeze,22.085,1,1
5,5,994,2018,6,Monaco Grand Prix,2018-05-27,817,Red Bull,78,1:42:54.807,1,ricciardo,Ideal,True,Caution,Light Air,24.542,1,1
6,6,995,2018,7,Canadian Grand Prix,2018-06-10,20,Ferrari,68,1:28:31.377,1,vettel,Ideal,False,Fine,Light Breeze,23.529,1,1
7,7,996,2018,34,French Grand Prix,2018-06-24,1,Mercedes,53,1:30:11.385,1,hamilton,Hot,True,Fine,Light Breeze,24.31,1,1
8,8,997,2018,70,Austrian Grand Prix,2018-07-01,830,Red Bull,71,1:21:56.024,1,max_verstappen,Hot,False,Fine,Light Breeze,21.214,1,5
9,9,998,2018,9,British Grand Prix,2018-07-08,20,Ferrari,52,1:27:29.784,1,vettel,Hot,False,Caution,Light Air,56.851,2,2
10,10,999,2018,10,German Grand Prix,2018-07-22,1,Mercedes,67,1:32:29.845,1,hamilton,Hot,True,Caution,Light Breeze,18.978,1,14
11,11,1000,2018,11,Hungarian Grand Prix,2018-07-29,1,Mercedes,70,1:37:16.427,1,hamilton,Hot,False,Extreme Caution,Light Air,21.48,1,1
12,12,1001,2018,13,Belgian Grand Prix,2018-08-26,20,Ferrari,44,1:23:34.476,1,vettel,Ideal,False,Fine,Light Breeze,41.835,2,2
13,13,1002,2018,14,Italian Grand Prix,2018-09-02,1,Mercedes,53,1:16:54.484,1,hamilton,Ideal,True,Fine,Light Breeze,23.728,1,3
14,14,1003,2018,15,Singapore Grand Prix,2018-09-16,1,Mercedes,61,1:51:11.611,1,hamilton,Ideal,False,Extreme Caution,Light Breeze,28.946,1,1
15,15,1004,2018,71,Russian Grand Prix,2018-09-30,1,Mercedes,53,1:27:25.181,1,hamilton,Ideal,True,Fine,Light Breeze,29.551,1,2
16,16,1005,2018,22,Japanese Grand Prix,2018-10-07,1,Mercedes,53,1:27:17.062,1,hamilton,Ideal,False,Caution,Light Breeze,22.614,1,1
17,17,1006,2018,69,United States Grand Prix,2018-10-21,8,Ferrari,56,1:34:18.643,1,raikkonen,Ideal,False,Fine,Light Breeze,23.714,1,3
18,18,1007,2018,32,Mexican Grand Prix,2018-10-28,830,Red Bull,71,1:38:28.851,1,max_verstappen,Ideal,False,Fine,Light Air,44.263,2,2
19,19,1008,2018,18,Brazilian Grand Prix,2018-11-11,1,Mercedes,71,1:27:09.066,1,hamilton,Hot,False,Fine,Light Breeze,22.641,1,1
20,20,1009,2018,24,Abu Dhabi Grand Prix,2018-11-25,1,Mercedes,55,1:39:40.382,1,hamilton,Ideal,True,Caution,Light Breeze,21.283,1,1
21,21,1010,2019,1,Australian Grand Prix,2019-03-17,822,Mercedes,58,1:25:27.325,1,bottas,Hot,False,Fine,Light Air,22.014,1,2
22,22,1011,2019,3,Bahrain Grand Prix,2019-03-31,1,Mercedes,57,1:34:21.295,1,hamilton,Ideal,False,Caution,Light Breeze,48.579,2,3
23,23,1012,2019,17,Chinese Grand Prix,2019-04-14,1,Mercedes,56,1:32:06.350,1,hamilton,Ideal,False,Fine,Light Breeze,46.241,2,2
24,24,1013,2019,73,Azerbaijan Grand Prix,2019-04-28,822,Mercedes,51,1:31:52.942,1,bottas,Ideal,False,Fine,Light Air,20.006,1,1
25,25,1014,2019,4,Spanish Grand Prix,2019-05-12,1,Mercedes,66,1:35:50.443,1,hamilton,Hot,False,Fine,Light Breeze,44.776,2,2
26,26,1015,2019,6,Monaco Grand Prix,2019-05-26,1,Mercedes,78,1:43:28.437,1,hamilton,Ideal,True,Fine,Light Air,24.266,1,1
27,27,1016,2019,7,Canadian Grand Prix,2019-06-09,1,Mercedes,70,1:29:07.084,1,hamilton,Hot,False,Caution,Light Air,23.662,1,2
28,28,1017,2019,34,French Grand Prix,2019-06-23,1,Mercedes,53,1:24:31.198,1,hamilton,Hot,False,Caution,Light Air,30.186,1,1
29,29,1018,2019,70,Austrian Grand Prix,2019-06-30,830,Red Bull,71,1:22:01.822,1,max_verstappen,Hot,False,Fine,Light Air,21.11,1,3
30,30,1019,2019,9,British Grand Prix,2019-07-14,1,Mercedes,52,1:21:08.452,1,hamilton,Ideal,False,Fine,Light Breeze,28.905,1,2
31,31,1020,2019,10,German Grand Prix,2019-07-28,830,Red Bull,64,1:44:31.275,1,max_verstappen,Ideal,True,Fine,Light Air,101.859,5,2
32,32,1021,2019,11,Hungarian Grand Prix,2019-08-04,1,Mercedes,70,1:35:03.796,1,hamilton,Hot,False,Fine,Light Air,44.27,2,3
33,33,1022,2019,13,Belgian Grand Prix,2019-09-01,844,Ferrari,44,1:23:45.710,1,leclerc,Ideal,False,Fine,Light Breeze,22.449,1,1
34,34,1023,2019,14,Italian Grand Prix,2019-09-08,844,Ferrari,53,1:15:26.665,1,leclerc,Ideal,False,Fine,Light Air,23.833,1,1
35,35,1024,2019,15,Singapore Grand Prix,2019-09-22,20,Ferrari,61,1:58:33.667,1,vettel,Ideal,False,Extreme Caution,Light Breeze,29.384,1,3
36,36,1025,2019,71,Russian Grand Prix,2019-09-29,1,Mercedes,53,1:33:38.992,1,hamilton,Ideal,True,Fine,Light Breeze,29.751,1,2
37,37,1026,2019,22,Japanese Grand Prix,2019-10-13,822,Mercedes,52,1:21:46.755,1,bottas,Ideal,False,Fine,Gentle Breeze,46.157,2,3
38,38,1027,2019,32,Mexican Grand Prix,2019-10-27,1,Mercedes,71,1:36:48.904,1,hamilton,Hot,False,Fine,Light Air,22.269,1,4
39,39,1031,2020,70,Austrian Grand Prix,2020-07-05,822,Mercedes,71,1:30:55.739,1,bottas,Hot,False,Caution,Light Breeze,38.344,2,1
40,40,1028,2019,69,United States Grand Prix,2019-11-03,822,Mercedes,56,1:33:55.653,1,bottas,Ideal,False,Fine,Light Breeze,47.97,2,1
41,41,1029,2019,18,Brazilian Grand Prix,2019-11-17,830,Red Bull,71,1:33:14.678,1,max_verstappen,Hot,False,Fine,Light Air,68.068,3,1
42,42,1030,2019,24,Abu Dhabi Grand Prix,2019-12-01,1,Mercedes,55,1:34:05.715,1,hamilton,Ideal,False,Caution,Light Air,22.178,1,1
43,43,1032,2020,70,Styrian Grand Prix,2020-07-12,1,Mercedes,71,1:22:50.683,1,hamilton,Ideal,True,Fine,Light Breeze,21.729,1,1
44,44,1033,2020,11,Hungarian Grand Prix,2020-07-19,1,Mercedes,70,1:36:12.473,1,hamilton,Ideal,True,Fine,Light Air,67.01,3,1
45,45,1034,2020,9,British Grand Prix,2020-08-02,1,Mercedes,52,1:28:01.283,1,hamilton,Hot,False,Fine,Light Breeze,28.805,1,1
46,46,1035,2020,9,70th Anniversary Grand Prix,2020-08-09,830,Red Bull,52,1:19:41.993,1,max_verstappen,Hot,False,Fine,Light Breeze,58.101,2,4
47,47,1036,2020,4,Spanish Grand Prix,2020-08-16,1,Mercedes,66,1:31:45.279,1,hamilton,Hot,False,Caution,Light Air,45.23,2,1
48,48,1037,2020,13,Belgian Grand Prix,2020-08-30,1,Mercedes,44,1:24:08.761,1,hamilton,Ideal,False,Fine,Light Air,23.298,1,1
49,49,1038,2020,14,Italian Grand Prix,2020-09-06,842,AlphaTauri,53,1:47:06.056,1,gasly,Hot,False,Caution,Light Air,1543.975,2,10
50,50,1039,2020,76,Tuscan Grand Prix,2020-09-13,1,Mercedes,59,2:19:35.060,1,hamilton,Hot,False,Caution,Light Breeze,2800.388,5,1
51,51,1040,2020,71,Russian Grand Prix,2020-09-27,822,Mercedes,53,1:34:00.364,1,bottas,Hot,False,Caution,Light Air,29.75,1,3
52,52,1041,2020,20,Eifel Grand Prix,2020-10-11,1,Mercedes,60,1:35:49.641,1,hamilton,Cold,True,Extreme Caution,Light Air,47.163,2,2
53,53,1042,2020,75,Portuguese Grand Prix,2020-10-25,1,Mercedes,66,1:29:56.828,1,hamilton,Ideal,False,Fine,Gentle Breeze,27.162,1,1
54,54,1043,2020,21,Emilia Romagna Grand Prix,2020-11-01,1,Mercedes,63,1:28:32.430,1,hamilton,Ideal,False,Fine,Light Air,61.307,2,2
55,55,1044,2020,5,Turkish Grand Prix,2020-11-15,1,Mercedes,58,1:42:19.313,1,hamilton,Cold,True,Fine,Light Air,23.86,1,6
56,56,1045,2020,3,Bahrain Grand Prix,2020-11-29,1,Mercedes,57,2:59:47.515,1,hamilton,Ideal,False,Fine,Light Air,1212.385,3,1
57,57,1046,2020,3,Sakhir Grand Prix,2020-12-06,815,Racing Point,87,1:31:15.114,1,perez,Ideal,False,Fine,Light Breeze,48.721,2,5
58,58,1047,2020,24,Abu Dhabi Grand Prix,2020-12-13,830,Red Bull,55,1:36:28.645,1,max_verstappen,Ideal,False,Fine,Light Breeze,21.289,1,1
59,59,1052,2021,3,Bahrain Grand Prix,2021-03-28,1,Mercedes,56,1:32:03.897,1,hamilton,Ideal,False,Fine,Light Air,48.915,2,2
60,60,1053,2021,21,Emilia Romagna Grand Prix,2021-04-18,830,Red Bull,63,2:02:34.598,1,max_verstappen,Cold,True,Extreme Caution,Light Air,1651.17,2,3
61,61,1054,2021,75,Portuguese Grand Prix,2021-05-02,1,Mercedes,66,1:34:31.421,1,hamilton,Ideal,False,Fine,Light Air,71.497,3,2
62,62,1055,2021,4,Spanish Grand Prix,2021-05-09,1,Mercedes,66,1:33:07.680,1,hamilton,Ideal,False,Fine,Light Air,44.298,2,1
63,63,1056,2021,6,Monaco Grand Prix,2021-05-23,830,Red Bull,78,1:38:56.820,1,max_verstappen,Ideal,False,Fine,Calm,23.746,1,2
64,64,1057,2021,73,Azerbaijan Grand Prix,2021-06-06,815,Red Bull,51,2:13:36.410,1,perez,Ideal,False,Fine,Calm,2035.617,3,7
65,65,1059,2021,34,French Grand Prix,2021-06-20,830,Red Bull,53,1:27:25.770,1,max_verstappen,Ideal,False,Fine,Light Air,59.926,2,1
66,66,1058,2021,70,Styrian Grand Prix,2021-06-27,830,Red Bull,71,1:22:18.925,1,max_verstappen,Hot,False,Fine,Calm,20.936,1,1
67,67,1060,2021,70,Austrian Grand Prix,2021-07-04,830,Red Bull,71,1:23:54.543,1,max_verstappen,Ideal,True,Fine,Calm,42.326,2,1
68,68,1061,2021,9,British Grand Prix,2021-07-18,1,Mercedes,52,1:58:23.284,1,hamilton,Hot,False,Caution,Calm,2088.642,2,1
69,69,1062,2021,11,Hungarian Grand Prix,2021-08-01,839,Alpine F1 Team,70,2:04:43.199,1,ocon,Ideal,True,Caution,Light Air,1511.354,3,8
70,70,1063,2021,13,Belgian Grand Prix,2021-08-29,830,Red Bull,1,3:27.071,1,max_verstappen,Cold,True,Fine,Light Air,45.204,2,1
71,71,1064,2021,39,Dutch Grand Prix,2021-09-05,830,Red Bull,72,1:30:05.395,1,max_verstappen,Ideal,False,Fine,Calm,37.72,2,1
72,72,1065,2021,14,Italian Grand Prix,2021-09-12,817,McLaren,53,1:21:54.365,1,ricciardo,Hot,False,Caution,Calm,23.812,1,5
73,73,1066,2021,71,Russian Grand Prix,2021-09-26,1,Mercedes,53,1:30:41.001,1,hamilton,Ideal,True,Fine,Calm,59.923,2,4
74,74,1067,2021,5,Turkish Grand Prix,2021-10-10,822,Mercedes,58,1:31:04.103,1,bottas,Cold,False,Fine,Light Air,22.962,1,2
75,75,1069,2021,69,United States Grand Prix,2021-10-24,830,Red Bull,56,1:34:36.552,1,max_verstappen,Ideal,False,Caution,Light Air,47.779,2,1
76,76,1070,2021,32,Mexico City Grand Prix,2021-11-07,830,Red Bull,71,1:38:39.086,1,max_verstappen,Hot,False,Fine,Calm,21.908,1,3
77,77,1071,2021,18,Ṣo Paulo Grand Prix,2021-11-14,1,Mercedes,71,1:32:22.851,1,hamilton,Hot,False,Fine,Calm,81.924,4,1
78,78,1051,2021,78,Qatar Grand Prix,2021-11-21,1,Mercedes,57,1:24:28.471,1,hamilton,Ideal,True,Caution,Calm,50.616,2,1
79,79,1072,2021,77,Saudi Arabian Grand Prix,2021-12-05,1,Mercedes,50,2:06:15.118,1,hamilton,Ideal,False,Extreme Caution,Calm,2103.11,3,1
80,80,1073,2021,24,Abu Dhabi Grand Prix,2021-12-12,830,Red Bull,58,1:30:17.345,1,max_verstappen,Ideal,False,Fine,Calm,64.476,3,1
81,81,1074,2022,3,Bahrain Grand Prix,2022-03-20,844,Ferrari,57,1:37:33.584,1,leclerc,Ideal,False,Fine,Calm,74.152,3,1
82,82,1075,2022,77,Saudi Arabian Grand Prix,2022-03-27,830,Red Bull,50,1:24:19.293,1,max_verstappen,Ideal,False,Fine,Light Breeze,20.731,1,4
83,83,1076,2022,1,Australian Grand Prix,2022-04-10,844,Ferrari,58,1:27:46.548,1,leclerc,Ideal,False,Caution,Light Breeze,17.973,1,1
84,84,1077,2022,21,Emilia Romagna Grand Prix,2022-04-24,830,Red Bull,63,1:32:07.986,1,max_verstappen,Cold,False,Fine,Light Air,59.943,2,1
85,85,1078,2022,79,Miami Grand Prix,2022-05-08,830,Red Bull,57,1:34:24.258,1,max_verstappen,Hot,True,Extreme Caution,Light Breeze,18.798,1,3
86,86,1079,2022,4,Spanish Grand Prix,2022-05-22,830,Red Bull,66,1:37:20.475,1,max_verstappen,Hot,False,Extreme Caution,Light Breeze,66.08,3,2
87,87,1080,2022,6,Monaco Grand Prix,2022-05-29,815,Red Bull,64,1:56:30.265,1,perez,Ideal,True,Fine,Light Air,1221.007,3,3
88,88,1081,2022,73,Azerbaijan Grand Prix,2022-06-12,830,Red Bull,51,1:34:05.941,1,max_verstappen,Hot,False,Fine,Light Air,42.19,2,3
89,89,1082,2022,7,Canadian Grand Prix,2022-06-19,830,Red Bull,70,1:36:21.757,1,max_verstappen,Hot,False,Fine,Light Breeze,47.921,2,1
90,90,1083,2022,9,British Grand Prix,2022-07-03,832,Ferrari,52,2:17:50.311,1,sainz,Ideal,True,Fine,Light Air,3088.761,3,1
91,91,1084,2022,70,Austrian Grand Prix,2022-07-10,844,Ferrari,71,1:24:24.312,1,leclerc,Ideal,False,Fine,Light Air,64.501,3,2
92,92,1085,2022,34,French Grand Prix,2022-07-24,830,Red Bull,53,1:30:02.112,1,max_verstappen,Hot,False,Caution,Light Breeze,35.266,1,2
93,93,1086,2022,11,Hungarian Grand Prix,2022-07-31,830,Red Bull,70,1:39:35.912,1,max_verstappen,Ideal,True,Fine,Gentle Breeze,42.579,2,10
94,94,1087,2022,13,Belgian Grand Prix,2022-08-28,830,Red Bull,44,1:25:52.894,1,max_verstappen,Ideal,False,Fine,Light Air,45.204,2,1
95,95,1088,2022,39,Dutch Grand Prix,2022-09-04,830,Red Bull,72,1:36:42.773,1,max_verstappen,Ideal,False,Fine,Light Air,73.012,4,1
96,96,1089,2022,14,Italian Grand Prix,2022-09-11,830,Red Bull,53,1:20:27.511,1,max_verstappen,Hot,False,Caution,Light Air,47.882,2,2
97,97,1091,2022,15,Singapore Grand Prix,2022-10-02,815,Red Bull,59,2:02:20.238,1,perez,Ideal,True,Caution,Light Air,29.55,1,2
98,98,1092,2022,22,Japanese Grand Prix,2022-10-09,830,Red Bull,28,3:01:44.004,1,max_verstappen,Cold,True,Fine,Light Breeze,411.707,2,1
99,99,1093,2022,69,United States Grand Prix,2022-10-23,830,Red Bull,56,1:42:11.687,1,max_verstappen,Ideal,False,Caution,Gentle Breeze,56.12,2,3
100,100,1094,2022,32,Mexico City Grand Prix,2022-10-30,830,Red Bull,71,1:38:36.729,1,max_verstappen,Hot,False,Fine,Light Air,22.487,1,1
101,101,1095,2022,18,Brazilian Grand Prix,2022-11-13,847,Mercedes,71,1:38:34.044,1,russell,Cold,False,Fine,Light Air,47.001,2,3
102,102,1096,2022,24,Abu Dhabi Grand Prix,2022-11-20,830,Red Bull,58,1:27:45.914,1,max_verstappen,Ideal,False,Caution,Light Breeze,22.735,1,1
103,103,1098,2023,3,Bahrain Grand Prix,2023-03-05,830,Red Bull,57,1:33:56.736,1,max_verstappen,Ideal,False,Fine,Light Air,49.199,2,1
104,104,1099,2023,77,Saudi Arabian Grand Prix,2023-03-19,815,Red Bull,50,1:21:14.894,1,perez,Ideal,False,Caution,Light Air,20.715,1,1
105,105,1100,2023,1,Australian Grand Prix,2023-04-02,830,Red Bull,58,2:32:38.371,1,max_verstappen,Ideal,False,Fine,Light Air,3649.37,3,1
106,106,1101,2023,73,Azerbaijan Grand Prix,2023-04-30,815,Red Bull,51,1:32:42.436,1,perez,Hot,False,Fine,Light Air,20.389,1,3
107,107,1102,2023,79,Miami Grand Prix,2023-05-07,830,Red Bull,57,1:27:38.241,1,max_verstappen,Ideal,False,Caution,Gentle Breeze,22.688,1,9
108,108,1104,2023,6,Monaco Grand Prix,2023-05-28,830,Red Bull,78,1:48:51.980,1,max_verstappen,Ideal,True,Fine,Light Air,24.798,1,1
109,109,1105,2023,4,Spanish Grand Prix,2023-06-04,830,Red Bull,66,1:27:57.940,1,max_verstappen,Ideal,False,Fine,Light Breeze,44.598,2,1
110,110,1106,2023,7,Canadian Grand Prix,2023-06-18,830,Red Bull,70,1:33:58.348,1,max_verstappen,Ideal,False,Fine,Light Breeze,47.554,2,1
111,111,1107,2023,70,Austrian Grand Prix,2023-07-02,830,Red Bull,71,1:25:33.607,1,max_verstappen,Ideal,True,Fine,Light Air,80.703,4,1
112,112,1108,2023,9,British Grand Prix,2023-07-09,830,Red Bull,52,1:25:16.938,1,max_verstappen,Ideal,False,Fine,Light Breeze,29.056,1,1
113,113,1109,2023,11,Hungarian Grand Prix,2023-07-23,830,Red Bull,70,1:38:08.634,1,max_verstappen,Hot,False,Caution,Light Air,43.087,2,2
